Index Annotation Celltype Tissue Type Category
0 AG10803_footprints.txt AG10803 skin footprints Footprints
1 AoAF_footprints.txt AoAF blood_vessel footprints Footprints
2 CD20+_footprints.txt CD20+ blood footprints Footprints
3 CD34+_Mobilized_footprints.txt CD34+ blood footprints Footprints
4 fBrain_footprints.txt fBrain fetal_brain footprints Footprints
5 fHeart_footprints.txt fHeart fetal_heart footprints Footprints
6 fLung_footprints.txt fLung fetal_lung footprints Footprints
7 GM06990_footprints.txt GM06990 blood footprints Footprints
8 GM12865_footprints.txt GM12865 blood footprints Footprints
9 H7-hESC_footprints.txt H7-hESC es_cell footprints Footprints
10 HAEpiC_footprints.txt HAEpiC epithelium footprints Footprints
11 HA-h_footprints.txt HA-h brain_hippocampus footprints Footprints
12 HCF_footprints.txt HCF heart footprints Footprints
13 HCM_footprints.txt HCM heart footprints Footprints
14 HCPEpiC_footprints.txt HCPEpiC epithelium footprints Footprints
15 HEEpiC_footprints.txt HEEpiC epithelium footprints Footprints
16 HepG2_footprints.txt HepG2 liver footprints Footprints
17 HFF_footprints.txt HFF foreskin footprints Footprints
18 HIPEpiC_footprints.txt HIPEpiC epithelium footprints Footprints
19 HMF_footprints.txt HMF breast footprints Footprints
20 HMVEC-dBl-Ad_footprints.txt HMVEC-dBl-Ad blood_vessel footprints Footprints
21 HMVEC-dBl-Neo_footprints.txt HMVEC-dBl-Neo blood_vessel footprints Footprints
22 HMVEC-dLy-Neo_footprints.txt HMVEC-dLy-Neo blood_vessel footprints Footprints
23 HMVEC-LLy_footprints.txt HMVEC-LLy blood_vessel footprints Footprints
24 HPAF_footprints.txt HPAF blood_vessel footprints Footprints
25 HPdLF_footprints.txt HPdLF epithelium footprints Footprints
26 HPF_footprints.txt HPF lung footprints Footprints
27 HRCEpiC_footprints.txt HRCEpiC epithelium footprints Footprints
28 HSMM_footprints.txt HSMM muscle footprints Footprints
29 HVMF_footprints.txt HVMF connective footprints Footprints
30 IMR90_footprints.txt IMR90 lung footprints Footprints
31 K562_footprints.txt K562 blood footprints Footprints
32 NB4_footprints.txt NB4 blood footprints Footprints
33 NH-A_footprints.txt NH-A nervous footprints Footprints
34 NHDF-Ad_footprints.txt NHDF-Ad skin footprints Footprints
35 NHDF-neo_footprints.txt NHDF-neo skin footprints Footprints
36 NHLF_footprints.txt NHLF lung footprints Footprints
37 SAEC_footprints.txt SAEC epithelium footprints Footprints
38 SKMC_footprints.txt SKMC muscle footprints Footprints
39 SK-N-SH_RA_footprints.txt SK-N-SH brain footprints Footprints
40 Th1_footprints.txt Th1 blood footprints Footprints
41 A549-all.twopass.merge150.wgt10.zgt2.wig A549 epithelium hotspots Hotspots
42 Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig Adult_CD4+ blood hotspots Hotspots
43 AG04449-DS12319.twopass.merge150.wgt10.zgt2.wig AG04449 skin hotspots Hotspots
44 AG04450-DS12270.twopass.merge150.wgt10.zgt2.wig AG04450 lung hotspots Hotspots
45 AG09309-DS12352.twopass.merge150.wgt10.zgt2.wig AG09309 skin hotspots Hotspots
46 AG09319-DS12291.twopass.merge150.wgt10.zgt2.wig AG09319 gingival hotspots Hotspots
47 AG10803-DS12384.twopass.merge150.wgt10.zgt2.wig AG10803 skin hotspots Hotspots
48 AoAF-DS13523.twopass.merge150.wgt10.zgt2.wig AoAF blood_vessel hotspots Hotspots
49 BE_2_C-DS14625.twopass.merge150.wgt10.zgt2.wig BE2_C brain hotspots Hotspots
50 BJ-DS10081.twopass.merge150.wgt10.zgt2.wig BJ skin hotspots Hotspots
51 CACO2-DS8235.twopass.merge150.wgt10.zgt2.wig Caco-2 colon hotspots Hotspots
52 CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig CD14+ blood hotspots Hotspots
53 CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig CD20+ blood hotspots Hotspots
54 CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig CD34+ blood hotspots Hotspots
